check_id,check_name,result,observed_value,notes
phase11f_summary_exists,Phase 11F summary exists,pass,artifacts/phase11f_approved_staging_training_execution_package/phase11f_execution_package_summary.json,Required Phase 11F summary was loaded.
phase11f_status_valid,Phase 11F status valid,pass,phase11f_approved_staging_training_execution_package_prepared,Phase 11F.1 only proceeds from the prepared Phase 11F package.
phase11f_ready_for_execution,Phase 11F ready for approved training execution,pass,True,Phase 11F.1 requires the Phase 11F package to be execution-ready.
phase11f_next_step_valid,Phase 11F next allowed step valid,pass,phase11g_execute_approved_staging_training,Phase 11F must point to Phase 11G before Kaggle adaptation is prepared.
no_training_executed,No training executed,pass,false,Phase 11F.1 prepares a Kaggle adapter only.
no_evaluation_executed,No evaluation executed,pass,false,Phase 11F.1 does not evaluate anything.
no_inference_executed,No inference executed,pass,false,Phase 11F.1 does not run inference.
original_dataset_not_mutated,Original dataset not mutated,pass,false,Original dataset mutation remains forbidden.
staging_dataset_not_mutated,Staging dataset not mutated by Phase 11F.1,pass,false,Phase 11F.1 does not alter staging data.
phase11f_summary_not_mutated,Phase 11F summary not mutated,pass,false,Phase 11F is treated as read-only input.
training_semantics_preserved,Training semantics preserved from Phase 11F,pass,model=yolov8n.pt; epochs=100; imgsz=640; batch=16; seed=42,Core training arguments are preserved exactly from Phase 11F.
kaggle_training_name_adapted,Kaggle command uses Phase 11G execution name,pass,yolov8n_staging_chipped_phase11g,Phase 11F.1 renames the run to the Phase 11G Kaggle execution target while preserving core training arguments.
local_paths_parameterized,Local absolute paths removed or parameterized,pass,REPO_ROOT/DATA_YAML/PROJECT_DIR variables present,Kaggle adapter command avoids hard-coded local absolute paths.
