entry_type,path,role,notes
input,artifacts/phase11e_real_approval_validation/phase11e_real_approval_validation_summary.json,validated_gate_summary,Phase 11E validated approval gate input
input,configs/train/phase9v_staging_chipped_yolov8n.yaml,approved_training_config,Frozen staging-training config path
input,artifacts/phase9s_staging_dataset_relabel_patch_chipped/staging_dataset_copy,approved_staging_dataset_or_yaml,Frozen staging-only dataset or YAML input
input,artifacts/phase9s_staging_dataset_relabel_patch_chipped/staging_dataset_drill_bit_yolo.yaml,approved_staging_dataset_yaml,Exact staging YAML used by the prepared command
input,scripts/execute_phase9y_approved_staging_training.py,approved_command_source_script,Approved execution-source script path
output,artifacts/phase11f_approved_staging_training_execution_package/phase11f_execution_package_summary.json,phase11f_summary,Phase 11F execution package summary
output,artifacts/phase11f_approved_staging_training_execution_package/phase11f_execution_package_manifest.csv,phase11f_manifest,Phase 11F execution package manifest
output,artifacts/phase11f_approved_staging_training_execution_package/phase11f_training_command.sh,phase11f_training_command,Prepared-only training command script
output,artifacts/phase11f_approved_staging_training_execution_package/phase11f_kaggle_or_local_input_requirements.md,phase11f_input_requirements,Execution input requirements for later Phase 11G
output,artifacts/phase11f_approved_staging_training_execution_package/phase11f_non_execution_manifest.json,phase11f_non_execution_manifest,Explicit non-execution and non-mutation manifest
output,artifacts/phase11f_approved_staging_training_execution_package/phase11f_guardrail_checks.csv,phase11f_guardrails,Guardrail checks proving this phase remained prepare-only
output,artifacts/phase11f_approved_staging_training_execution_package/README.md,phase11f_readme,Phase 11F package readme
context,False,historical_phase9z5_training_allowed,Historical context only; not a Phase 11F blocker after real approval validation
